solv_comb_sm,salt_sm,true_conductivity_log,class,group
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.10106,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.2526,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.4388,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.31464,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25085,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.16899,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.06514,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.06215,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.22451,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.41352,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.37173,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.31398,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25229,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.17862,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.09584,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.01939,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.16536,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.73291,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.69135,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.64828,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.59261,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.5272,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.44836,Ether,in-house
C(OCCOCCOC)COCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.35016,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.15101,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.12744,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.09466,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.05524,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.00709,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0555,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.12921,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.43273,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.43546,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.44353,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.45948,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.48385,Ether,in-house
