smiles,IE,EA
CN(C)c1cc(c2ccccc2)n(C)c1,3.101585872,-0.169354025
Cn1cncc(F)c1=O,6.823660532,2.107786781
CN1CCN(C)[C@H](C1)N(=O)=O,4.505625174,1.247851946
CN[N]Oc1c(cccc1[O])N(=O)=O,3.884173263,2.872004814
Nc1c2c(c(N)ccc2)ccc1,3.461793888,0.056403271
c1(cc(ccn1)c1ccncc1N)C,4.365069601,0.754365922
P(OCC)(OCC)OCC,4.718489816,-0.471194735
c1ccc(cc1)c1cc(cs1)N(=O)=O,4.817705115,1.988340429
CC(C)(C)Cn1ccc(=c2ccn(C)cc2)cc1O,1.808258517,-0.468453629
S=c1[nH]c2c([nH]1)cccc2,4.507212449,0.327761876
CC(C)(C)c1ccc2c(c1)[nH]s[nH]2,3.235526981,2.512458616
C=Cc1cc(c2c(c1)ONO2)OCCOCCOC,4.309016988,0.441734055
C#Cc1ccc2c(c1)ON(N)O2,3.315374487,0.564446082
c1cc(c2c(c1C(=O)O)ONO2)Cl,4.795341894,1.122874801
CN(C)c1c2CCCCc2c(c2ccccc2)c(c1O)O,4.084203778,-0.15426202
COCCOCCOc1ccc(c2c1[nH]s[nH]2)F,3.276958911,1.974414555
O[C@H]1CN2[C]1[N]NC2=N,5.654864552,1.781733021
C=C[C@@H]1CS[C@H](C)CS1,4.909681455,0.46682512
Cn1ccc(=c2ccn(cc2)CN(=O)=O)c(c1)N(=O)=O,2.747752468,1.823875794
C#Cc1cc(cc2c1ONO2)OC,4.227154802,0.602164949
C1[C@@H](C(=N)O)SC[C@@H](N(=O)=O)S1,5.485758118,1.82228063
C[C@@H]1C=CSC=C1N,3.372468063,-0.669465352
C1C(CCSC1)F,4.777004175,-0.84852121
CON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,4.487572761,2.738055811
C1CC1[C@@]12C[C@H]3C[C@@H]1N23,6.04572991,0.48680242
CNc1ccc2c(c1)[nH]s[nH]2,3.162071961,2.267883509
CCC1=CSC=C(CC)S1,3.778735429,-0.346465989
C#Cc1c[nH]cc1c1ccccc1,4.291906709,-0.143163457
