solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.7141015898937358,-0.14624
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5299440250667815,-0.27577
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3673245878697971,-0.43495
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,1.8490557263156502,0.26695
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.5973864641126891,0.20341
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.3269360710912308,0.12285
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.0512838675259777,0.02172
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.7923918499383094,-0.10106
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5589848017438498,-0.2526
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3640826637894008,-0.4388
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.063668808321772,0.31464
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.7817632619312462,0.25085
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.4756725542684423,0.16899
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.1618230809911045,0.06514
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.8666624894396812,-0.06215
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5963345885646991,-0.22451
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3859046396201073,-0.41352
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.353585609553762,0.37173
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,2.060535019940607,0.31398
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.7876808997298759,0.25229
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.5087594385899703,0.17862
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.2469240458157291,0.09584
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.9563348890170726,-0.01939
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.6833449668682308,-0.16536
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,5.406422726003584,0.73291
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,4.913036606186607,0.69135
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,4.449180242705857,0.64828
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,3.9139024760195382,0.59261
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,3.366665743686228,0.5272
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,2.8077601119439657,0.44836
C(OCCOCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,2.239546065863599,0.35016
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,80,1.415826380188929,0.15101
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,70,1.3410346518228209,0.12744
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,60,1.2435406887833758,0.09466
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,50,1.1356382191706342,0.05524
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,40,1.0164593146119816,0.00709
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,30,0.8800351116873228,-0.0555
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,20,0.7426599431406783,-0.12921
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,80,0.3692070625172866,-0.43273
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,70,0.3668934850239776,-0.43546
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,60,0.36013887202352507,-0.44353
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,50,0.3471522624720815,-0.45948
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,40,0.32820863278471074,-0.48385
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,30,0.30265649618741525,-0.51905
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,20,0.27179408435172336,-0.56576
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,80,1.5600194030083159,0.19313
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,70,1.4246887666466541,0.15372
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,60,1.303917157507469,0.11525
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,50,1.1494497760559241,0.06049
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,40,0.994649342767798,-0.00233
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,30,0.8229055663189362,-0.08465
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.5,20,0.6383663704010231,-0.19493
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,80,0.6366342509862424,-0.19611
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,70,0.6070996744671294,-0.21674
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,60,0.5510614111390658,-0.2588
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,50,0.4917903469643792,-0.30822
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,40,0.42970459718644827,-0.36683
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,30,0.3528255278999262,-0.45244
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,0.1,20,0.2741763559703618,-0.56197
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.0090002925958816,0.30298
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.8133849206592185,0.25849
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.592685403881273,0.20213
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.3632641056085988,0.13458
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.127924421552925,0.05228
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.8944992896157462,-0.04842
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.6627046226612711,-0.17868
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,10,0.45606841895349454,-0.34097
C(COCCOC)(COCCOC)(COCCOC)COCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,0,0.28141030702479697,-0.55066
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.3439589415391677,0.36995
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,2.00728944065861,0.30261
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.6612308974016614,0.22043
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.3209914296476895,0.1209
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.9982975378667376,-0.00074
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.708663394221752,-0.14956
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.4702621228394328,-0.32766
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,10,0.28362205538939644,-0.54726
C(COCCOCCOC)(COCCOCCOC)(COCCOCCOC)COCCOCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,0,0.15243335205482172,-0.81692
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,1.7072613161061418,0.2323
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.576231491435165,0.19762
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.414881278161819,0.15072
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.2497985026063925,0.09684
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.0925466758604472,0.03844
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.9295226995678639,-0.03174
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.7544839403716359,-0.12235
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,10,0.5698623963203384,-0.24423
B(OCCOC)(OCCOC)OCCOC,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,0,0.397154968460449,-0.40104
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,0.43972382795046183,-0.35682
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,0.37192896366086875,-0.42954
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,0.29805059970054115,-0.52571
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,0.22976824126588094,-0.63871
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.16900906533709853,-0.77209
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.11765218576672265,-0.9294
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.0766390301139101,-1.11555
B(OCCOCC(F)(F)F)(OCCOCC(F)(F)F)OCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,10,0.0459599978817444,-1.33762
