solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,protocol,current_density,coulombic_efficiency,log(1-CE)
O=C1OCC(F)O1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.976,-3.729701449
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,3,0.1,0.98,-3.912023005
O=C1OCC(F)O1,,,F[P-](F)(F)(F)(F)F.[Li+],,,0,0.5,0.98,-3.912023005
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,0,0.5,0.981,-3.9633163
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],1,1,0.981,-3.9633163
O=C1OCC(F)O1,O=C(OCC(F)(F)F)OCC(F)(F)F,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.983,-4.074541935
O=C1OCC(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,3,0.5,0.985,-4.199705078
O=C1OCCO1,COC(=O)OC,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,O=c1occo1,1,0.6,0.82,-1.714798428
C1COCO1,COCCOC,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,0,0.25,0.827,-1.754463684
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,2.5,0.937,-2.764620553
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,0.5,0.939,-2.796881415
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,5,0.954,-3.079113882
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,1,0.5,0.979,-3.863232841
O=C1OCCO1,CCOC(=O)OCC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,1,0.87,-2.040220829
COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,3,0.1,0.95,-2.995732274
O=C1OCCO1,CCOC(=O)OCC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,1,0.95,-2.995732274
COCCCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.977,-3.772261063
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.982,-4.017383521
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.984,-4.135166557
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,1,0.985,-4.199705078
CC#N,O=c1occo1,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=c1occo1,2,1,0.986,-4.268697949
COC(=O)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.992,-4.828313737
CCOP(=O)(OCC)OCC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.992,-4.828313737
COC(=O)OC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.993,-4.96184513
C1COCO1,COCCOC,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],0,0.5,0.99,-4.605170186
COC(=O)CC(F)(F)F,O=C1OCC(F)O1,,F[P-](F)(F)(F)(F)F.[Li+],,,2,0.5,0.976,-3.729701449
O=C1OCC(F)O1,,,F[P-](F)(F)(F)(F)F.[Li+],,,2,0.5,0.982,-4.017383521
CCOC(=O)OCC,,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCCO1,1,0.4,0.903,-2.3330443
COCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.943,-2.864704011
COCCOCCOCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.963,-3.296837366
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.922,-2.551046452
COCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.958,-3.170085661
COCCOCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.964,-3.324236341
COCCOCCOCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,O=C1OCCO1,1,0.4,0.973,-3.611918413
COCCOCCOCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.4,0.94,-2.813410717
C1COCO1,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.988,-4.422848629
COCCOC,FC(F)C(F)(F)COC(F)(F)C(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.977,-3.772261063
O=C1OCCO1,CCOC(=O)OC,COC(=O)OC,F[P-](F)(F)(F)(F)F.[Li+],,,1,0.5,0.849,-1.890475442
COC(=O)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.09,-0.094310679
COC(=O)OC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.995,-5.298317367
COC(=O)OC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.993,-4.96184513
COCC(F)(F)C(F)(F)COC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.994,-5.11599581
CCOCCOCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.99,-4.605170186
CCOCCOCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.993,-4.96184513
FC(F)(F)COCCOCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.993,-4.96184513
FC(F)COCCOCC(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.995,-5.298317367
FC(F)COCCOCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.995,-5.298317367
COCC(F)(F)C(F)(F)COC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-1,0.5,0.9952,-5.339139361
