solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,mol_wt_solv_1,mol_wt_solv_2,mol_wt_solv_3,mol_wt_solv_4,mol_wt_salt,conc_salt,temperature
0.2,0.2,0.6,0,232.0134405,104.0473441,88.01604399,0,151.9801855,1.2,25
0.2,0.2,0.6,0,232.0134405,104.0473441,88.01604399,0,151.9801855,1.2,30
0.2,0.2,0.6,0,232.0134405,104.0473441,88.01604399,0,151.9801855,1.2,40
0.2,0.2,0.6,0,232.0134405,104.0473441,88.01604399,0,151.9801855,1.2,50
0.2,0.2,0.6,0,232.0134405,104.0473441,88.01604399,0,151.9801855,1.2,60
0.2,0.2,0.6,0,232.0134405,104.0473441,270.0126916,0,151.9801855,1.2,25
0.2,0.2,0.6,0,232.0134405,104.0473441,270.0126916,0,151.9801855,1.2,30
0.2,0.2,0.6,0,232.0134405,104.0473441,270.0126916,0,151.9801855,1.2,40
0.2,0.2,0.6,0,232.0134405,104.0473441,270.0126916,0,151.9801855,1.2,50
0.2,0.2,0.6,0,232.0134405,104.0473441,270.0126916,0,151.9801855,1.2,60
0.2,0.1,0.1,0.6,232.0134405,88.01604399,270.0126916,104.0473441,151.9801855,1.2,25
0.2,0.1,0.1,0.6,232.0134405,88.01604399,270.0126916,104.0473441,151.9801855,1.2,30
0.2,0.1,0.1,0.6,232.0134405,88.01604399,270.0126916,104.0473441,151.9801855,1.2,40
0.2,0.1,0.1,0.6,232.0134405,88.01604399,270.0126916,104.0473441,151.9801855,1.2,50
0.2,0.1,0.1,0.6,232.0134405,88.01604399,270.0126916,104.0473441,151.9801855,1.2,60
0.2,0.2,0.6,0,232.0134405,158.0190787,270.0126916,0,151.9801855,1.2,25
0.2,0.2,0.6,0,232.0134405,158.0190787,270.0126916,0,151.9801855,1.2,30
0.2,0.2,0.6,0,232.0134405,158.0190787,270.0126916,0,151.9801855,1.2,40
0.2,0.2,0.6,0,232.0134405,158.0190787,270.0126916,0,151.9801855,1.2,50
0.2,0.2,0.6,0,232.0134405,158.0190787,270.0126916,0,151.9801855,1.2,60
0.2,0.2,0.6,0,232.0134405,158.0190787,88.01604399,0,151.9801855,1.2,25
0.2,0.2,0.6,0,232.0134405,158.0190787,88.01604399,0,151.9801855,1.2,30
0.2,0.2,0.6,0,232.0134405,158.0190787,88.01604399,0,151.9801855,1.2,40
0.2,0.2,0.6,0,232.0134405,158.0190787,88.01604399,0,151.9801855,1.2,50
0.2,0.2,0.6,0,232.0134405,158.0190787,88.01604399,0,151.9801855,1.2,60
0.5,0.05,0.45,0,349.9976316,118.0629942,88.01604399,0,386.9269112,1,-35
0.5,0.05,0.45,0,349.9976316,118.0629942,88.01604399,0,386.9269112,1,0
0.5,0.05,0.45,0,349.9976316,118.0629942,88.01604399,0,386.9269112,1,10
0.5,0.05,0.45,0,349.9976316,118.0629942,88.01604399,0,386.9269112,1,25
0.5,0.05,0.45,0,349.9976316,118.0629942,88.01604399,0,386.9269112,1,50
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,151.9801855,1,-25
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,151.9801855,1,-5
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,151.9801855,1,15
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,151.9801855,1,25
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,151.9801855,1,50
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,386.9269112,1,-15
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,386.9269112,1,15
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,386.9269112,1,25
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,386.9269112,1,40
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,386.9269112,1,50
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,286.9332984,1,-20
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,286.9332984,1,1.42
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,286.9332984,1,25
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,286.9332984,1,35
0.5,0.05,0.45,0,346.0227035,118.0629942,88.01604399,0,286.9332984,1,50
1,0,0,0,102.0316941,0,0,0,105.9645157,0.0097362,25
1,0,0,0,102.0316941,0,0,0,105.9645157,0.007299,25
1,0,0,0,102.0316941,0,0,0,105.9645157,0.0048663,25
1,0,0,0,102.0316941,0,0,0,105.9645157,0.0024338,25
1,0,0,0,102.0316941,0,0,0,105.9645157,0.0017056,25
1,0,0,0,102.0316941,0,0,0,105.9645157,0.0009767,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.010613,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.0070786,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.0035394,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.0024835,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.001421,25
1,0,0,0,102.0316941,0,0,0,94.01892283,0.0009472,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.0094052,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.0070557,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.004704,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.0023518,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.0016519,25
1,0,0,0,102.0316941,0,0,0,151.9801855,0.0009443,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.0099775,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.0074817,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.004987,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.0024938,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.0017438,25
1,0,0,0,102.0316941,0,0,0,195.9280204,0.0009977,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.0103714,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.007777,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.0051853,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.002592,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.0018176,25
1,0,0,0,102.0316941,0,0,0,155.9680291,0.0010394,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0097428,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0073039,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0048716,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0024449,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0017063,25
1,0,0,0,102.0316941,0,0,0,286.9332984,0.0009776,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.0095203,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.0071394,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.0047587,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.0023809,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.001668,25
1,0,0,0,102.0316941,0,0,0,305.9584484,0.0009531,25
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,40
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,60
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,1,80
1,0,0,0,88.01604399,0,0,0,195.9280204,1,20
1,0,0,0,88.01604399,0,0,0,195.9280204,1,40
1,0,0,0,88.01604399,0,0,0,195.9280204,1,60
1,0,0,0,88.01604399,0,0,0,195.9280204,1,80
0.5,0.5,0,0,88.01604399,118.0993797,0,0,195.9280204,1,-10
0.5,0.5,0,0,88.01604399,118.0993797,0,0,195.9280204,1,0
0.5,0.5,0,0,88.01604399,118.0993797,0,0,195.9280204,1,20
0.175,0.3,0.175,0.35,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-60
0.175,0.3,0.175,0.35,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-50
0.175,0.3,0.175,0.35,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-40
0.175,0.3,0.175,0.35,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-30
0.175,0.3,0.175,0.35,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-20
0.125,0.5,0.125,0.25,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-60
0.125,0.5,0.125,0.25,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-50
0.125,0.5,0.125,0.25,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-40
0.125,0.5,0.125,0.25,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-30
0.125,0.5,0.125,0.25,88.01604399,83.95335542,102.0316941,72.05751488,195.9280204,1,-20
0.088219726,0.823384109,0.088396165,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-60
0.088219726,0.823384109,0.088396165,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-50
0.088219726,0.823384109,0.088396165,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-40
0.088219726,0.823384109,0.088396165,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-30
0.088219726,0.823384109,0.088396165,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-20
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-60
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-50
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-40
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-30
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-20
0.25,0.5,0.25,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-60
0.25,0.5,0.25,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-50
0.25,0.5,0.25,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-40
0.25,0.5,0.25,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-30
0.25,0.5,0.25,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-20
0.35,0.3,0.35,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-60
0.35,0.3,0.35,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-50
0.35,0.3,0.35,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-40
0.35,0.3,0.35,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-30
0.35,0.3,0.35,0,88.01604399,83.95335542,102.0316941,0,195.9280204,1,-20
1,0,0,0,88.01604399,0,0,0,195.9280204,0.5,-60
1,0,0,0,88.01604399,0,0,0,195.9280204,0.5,-50
1,0,0,0,88.01604399,0,0,0,195.9280204,0.5,-40
1,0,0,0,88.01604399,0,0,0,195.9280204,0.5,-30
1,0,0,0,88.01604399,0,0,0,195.9280204,0.5,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,0.5,-30
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,0.5,-20
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,0.5,-10
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,0.5,0
0.5,0.5,0,0,88.01604399,102.0316941,0,0,195.9280204,0.5,20
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-60
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-50
1,0,0,0,88.01604399,0,0,0,195.9280204,1,-40
