solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
CC(OC(=O)OCC(F)(F)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.5,25,0.1,-2.302585093
CC(OC(=O)OCC(F)(F)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.75,25,0.1,-2.302585093
CC(OC(=O)OCC(F)(F)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,25,0.2,-1.609437912
O=C1OCCO1,CCOC(=O)OCC,,,[Li+].[O-]Cl(=O)(=O)=O,,0.5,0.5,0,0,0.67,25,2.799999999,1.029619417
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,30,6.900000003,1.931521412
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,40,8.700000003,2.163323026
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,50,1.400000001,0.336472237
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,60,12.2,2.501435952
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.1,25,1.6,0.470003629
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.5,25,5.499999999,1.704748092
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.75,25,6.2,1.824549292
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,25,6.399999998,1.85629799
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.25,25,6.299999997,1.840549633
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.5,25,5.499999999,1.704748092
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,2,25,4.300000001,1.458615023
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,10,2.3,0.832909123
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,20,3.200000001,1.16315081
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,30,4.4,1.481604541
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,40,5.400000002,1.686398954
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,60,8.700000003,2.163323026
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.1,25,1.2,0.182321557
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.25,25,2.399999999,0.875468737
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.5,25,3.299999998,1.193922468
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.75,25,3.899999999,1.360976553
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,25,4,1.386294361
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.25,25,3.700000001,1.30833282
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.5,25,3.599999998,1.280933845
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,2,25,3.000000001,1.098612289
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,10,1.299999999,0.262364264
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,20,1.7,0.530628251
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,30,2.100000001,0.741937345
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,40,2.399999999,0.875468737
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,60,3.400000001,1.223775432
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.603070799,0.396929201,0,0,1,25,3.000000001,1.098612289
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.3361864,0.6638136,0,0,1,25,2.3,0.832909123
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.144433095,0.855566905,0,0,1,25,1.6,0.470003629
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.521002211,0.478997789,0,0,1,25,2.199999999,0.78845736
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.266089575,0.733910425,0,0,1,25,1.400000001,0.336472237
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,0.107840146,0.892159854,0,0,1,25,0.6,-0.510825624
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.1,25,0.7,-0.356674944
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.2,25,1.2,0.182321557
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.5,25,1.5,0.405465108
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.75,25,1.8,0.587786665
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,25,1.9,0.641853886
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.25,25,1.8,0.587786665
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.5,25,1.8,0.587786665
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,2,25,1.6,0.470003629
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.3,0.7,0,0,1.2,25,8.396,2.127755402
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.3,0.7,0,0,1.2,30,9.201000002,2.219312174
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.3,0.7,0,0,1.2,40,10.88,2.386926241
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.3,0.7,0,0,1.2,50,12.56,2.530517161
O=C1OCCO1,CCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.3,0.7,0,0,1.2,60,14.20000001,2.653241965
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,25,6.299999997,1.840549633
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,30,7,1.945910149
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,40,8.100000003,2.091864062
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,50,9.800000003,2.282382386
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,60,11,2.397895273
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,25,2.799999999,1.029619417
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,30,3.000000001,1.098612289
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,40,3.800000001,1.335001067
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,50,4.199999999,1.435084525
FC(F)C(F)(F)COC(F)(F)C(F)F,CCOC(=O)OC,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,60,5.100000001,1.62924054
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.1,0.1,0.6,1.2,25,4.199999999,1.435084525
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.1,0.1,0.6,1.2,30,4.899999999,1.589235205
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.1,0.1,0.6,1.2,40,5.900000001,1.774952351
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.1,0.1,0.6,1.2,50,6.900000003,1.931521412
FC(F)C(F)(F)COC(F)(F)C(F)F,O=C1OCCO1,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.1,0.1,0.6,1.2,60,7.899999996,2.066862759
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,25,1,0
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,30,1.1,0.09531018
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,40,1.5,0.405465108
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,50,1.9,0.641853886
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,60,2.100000001,0.741937345
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,25,3.000000001,1.098612289
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,30,3.400000001,1.223775432
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,40,4,1.386294361
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,50,4.899999999,1.589235205
FC(F)C(F)(F)COC(F)(F)C(F)F,COC(=O)OCC(F)(F)F,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.2,0.2,0.6,0,1.2,60,5.700000001,1.740466175
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,-35,0.36,-1.021651248
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,0,1.2,0.182321557
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,10,1.6,0.470003629
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,25,2.100000001,0.741937345
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,,0.5,0.05,0.45,0,1,50,4,1.386294361
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.5,0.05,0.45,0,1,-25,0.27,-1.30933332
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,CCOC(=O)OCC,O=C1OCCO1,,[Li+].F[P-](F)(F)(F)(F)F,,0.5,0.05,0.45,0,1,-5,0.78,-0.248461359
