solv_comb_sm,conductivity,oxstab,coulombic_efficiency,cond_std,oxstab_std,CE_std,overall_score_1,ROMol
CCN(C(C)C)C1C(=O)C(=O)OC1(C)C=O,1.0903175293711511,5.339288798070259,0.9898802874289712,0.01632455985936648,0.48258826331134186,0.9895318753390265,0.49118675050821253,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9190>
CC12CCCN1C2C1(C)COC1C=O,1.5725694848504839,5.267670380581421,0.9891627562488066,0.023544981429140677,0.4760817570879016,0.9887428593066687,0.49116196728182465,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9200>
CCC(C)(CC=O)C(C)(C)C1OC1(C)C,1.1167556467237034,5.340650621321106,0.989327067722747,0.01672039931761575,0.4827119844401736,0.9889235404963135,0.49115745500385394,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9270>
CCC1(CC)OCC(=O)N(C(C)C#N)C1(C)C,1.57226429355015,5.284079434530258,0.9877587697685888,0.02354041201304438,0.477572513451731,0.9871989990916308,0.49114293510361406,<rdkit.Chem.rdchem.Mol object at 0x2bdbe92e0>
CC(C)OC(C)C(C)(CCCC=O)OC(C)C,1.6824361559052181,5.266952453979089,0.9874228409339834,0.025189938328681723,0.476016533726791,0.9868296029684211,0.49105190475788496,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9350>
CCC1CC2OC1CC1(C)COC21,1.7376041767604267,5.2830375704564885,0.9852731324618925,0.026015930557886424,0.47747786049348856,0.9844657273679407,0.49102664107837424,<rdkit.Chem.rdchem.Mol object at 0x2bdbe93c0>
CCN1C(=O)CC(C#N)C(C)(C)C1(C)C,1.629027089484917,5.2793371205468445,0.9869840323876713,0.024390281695212308,0.47714167601453966,0.9863470776263217,0.49100008166090436,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9430>
CCN1CC1(CCC=O)C1OC1C,2.307918804983572,5.166771969177645,0.987031140483507,0.03455485299540597,0.4669151744580044,0.986398878919277,0.49099673910298686,<rdkit.Chem.rdchem.Mol object at 0x2bdbe94a0>
CCN1C2CC2OC(=O)C11CC1,2.462631861653459,5.14044213195292,0.9870623187342082,0.036871263491646704,0.4645231186744269,0.9864331633383296,0.4909830900164531,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9510>
CC1COC(C)C(OCOC1C)C(F)(F)F,1.0665416945480428,5.373260033649988,0.9868313829345611,0.015968580897237593,0.48567453725410126,0.9861792202994708,0.4909813716887672,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9580>
CCC(COC)C1(C)CC(O1)C(F)(F)F,1.3807553608460081,5.286796148836489,0.9896841234047817,0.020673082574997795,0.47781932592205056,0.9893161682529292,0.4909768303274926,<rdkit.Chem.rdchem.Mol object at 0x2bdbe95f0>
CC(C)OC1(OCCCC(C)C1C#N)C(C)C,1.7405450423288844,5.271375250818134,0.9860518089358125,0.02605996208319811,0.4764183431518979,0.9853219803628304,0.49097409424731575,<rdkit.Chem.rdchem.Mol object at 0x2bdbe9660>
CCC1(CC)OC(C)C(O1)C1(C)CCC(=O)O1,1.8831203857828362,5.235706756988146,0.9870444147465498,0.02819464308033301,0.473177873937094,0.9864134756457301,0.49096937757884185,<rdkit.Chem.rdchem.Mol object at 0x2bdbe96d0>
