solv_comb_sm,salt_sm,conductivity_log
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.6434526765191002
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7323937600096158
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.939519252766045
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0791812461371091
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3802112415579092
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5185139396727118
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5910646069676085
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.6020599912758946
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5682017242189205
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5563025005666153
FC1COC(=O)O1,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4771212548638006
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.113943352103808
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2304489213512736
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3222192948514492
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3802112415579092
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5314789172063682
FC1COC(=O)O1.CCOC(=O)OC(C)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4771212548638006
FC1COC(=O)O1.CCOC(=O)OC(C)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3617278360457768
FC1COC(=O)O1.CCOC(=O)OC(C)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2041199825492031
FC1COC(=O)O1.CC(OC(=O)OCC(F)(F)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3424226806640057
FC1COC(=O)O1.CC(OC(=O)OCC(F)(F)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1461280358427431
FC1COC(=O)O1.CC(OC(=O)OCC(F)(F)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.2218487497179853
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.1549019600123513
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0791812461371091
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1760912590087061
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2552725051458152
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2787536008779588
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2552725051458152
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2552725051458152
C1(C(OC(=O)O1)F)F,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2041199825492031
O=C1OCCO1.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.9240724299284352
O=C1OCCO1.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.9638350307889096
O=C1OCCO1.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,1.0366288951763714
O=C1OCCO1.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,1.0989896393837828
O=C1OCCO1.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,1.1522883445536407
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.O=C1OCCO1,[Li+].F[P-](F)(F)(F)(F)F,0.7993405492809552
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.O=C1OCCO1,[Li+].F[P-](F)(F)(F)(F)F,0.8450980399902346
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.O=C1OCCO1,[Li+].F[P-](F)(F)(F)(F)F,0.908485019018322
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.O=C1OCCO1,[Li+].F[P-](F)(F)(F)(F)F,0.9912260758329778
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.O=C1OCCO1,[Li+].F[P-](F)(F)(F)(F)F,1.0413926852457918
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,[Li+].F[P-](F)(F)(F)(F)F,0.4471580312635431
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,[Li+].F[P-](F)(F)(F)(F)F,0.4771212548638006
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,[Li+].F[P-](F)(F)(F)(F)F,0.5797835967330535
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,[Li+].F[P-](F)(F)(F)(F)F,0.6232492902722493
FC(F)C(F)(F)COC(F)(F)C(F)F.CCOC(=O)OC.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,[Li+].F[P-](F)(F)(F)(F)F,0.7075701762150743
FC(F)C(F)(F)COC(F)(F)C(F)F.O=C1OCCO1.C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F.CCOC(=O)OC,[Li+].F[P-](F)(F)(F)(F)F,0.6232492902722493
