solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,conductivity_log
O=C1OCCO1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.6334684557100847
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.36172783604577685
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5051499784042978
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.6434526765191002
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7323937600096158
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.939519252766045
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07918124613710918
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.38021124155790925
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5185139396727118
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5910646069676085
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.6020599912758946
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5682017242189205
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5563025005666153
FC1COC(=O)O1,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4771212548638006
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.11394335210380802
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.23044892135127365
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.32221929485144923
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.38021124155790925
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.5314789172063682
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4771212548638006
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.36172783604577685
FC1COC(=O)O1,CCOC(=O)OC(C)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.20411998254920316
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3424226806640057
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.14612803584274317
FC1COC(=O)O1,CC(OC(=O)OCC(F)(F)F)F,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.22184874971798532
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.15490196001235135
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07918124613710918
C1(C(OC(=O)O1)F)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1760912590087061
