smiles,IE,EA,IE_binned
CCc1ccc2c(c1C(C)(C)C)ONO2,4.204373503,-0.359269843,4
CN1CCN(C)[C@@](C1)(C(=O)O)N,4.540875444,-0.479272599,4
Cn1c(ccc1O)C#N,4.385805481,-0.329905685,4
COCCOCCOCCOc1ccsc1OC,3.879414912,-0.347421492,3
COc1ccc2c(c1F)[nH]s[nH]2,3.511006473,2.314905681,3
[C@H]([C@@H](O)c1ccc(cc1)N(C)C)(O)c1ccc(cc1)N(C)C,3.630347461,-0.613018484,3
CNc1cncc(C(=O)O)n1,4.709468951,1.310173989,4
Cn1ccc(c1OC)O,3.323542806,-0.518324371,3
COCCOc1cnc(cn1)N,4.192521739,0.551409097,4
CC(C)(C)c1cc(C#N)sc1,5.258406035,0.745125317,5
C(C)N,4.792780366,-0.826656398,4
N(C(F)(F)F)(C(F)(F)F)C(F)(F)F,7.942120896,-1.066833359,7
C1C(CCSC1)(N(C)C)N(C)C,3.508793861,-0.976793279,3
c1ccc(cc1)c1cc(cc2c1ONO2)O,4.171761943,0.467983362,4
C#Cc1cnc(cn1)Cl,5.693874099,1.301716832,5
CN1CCN(C)[C@H]([C@H]1c1ccccc1)N,4.073307249,-0.85078058,4
c1cc(c(c2c1[nH]s[nH]2)C(F)(F)F)N(=O)=O,3.618902388,2.015730578,3
CN(C)C1=CS/C(=C\2/SC=C(C(Cl)(Cl)Cl)S2)/S1,3.187756389,2.84283596,3
CN[C@@H]1CN(C)[C@@H](CN1C)c1ccccc1,3.986619635,-0.861128106,3
C#Cc1ccn(C)c1O,3.930283769,-0.030075628,3
CN(C)Cn1ccc(=c2ccn(C)cc2)c(c1)C(=O)O,2.301878514,0.383937253,2
CC(C)(C)c1cccc2c1n(N(=O)=O)s[nH]2,2.939618947,3.713468551,2
O=c1c2c(c3c(c(=O)o1)cccc3)cccc2,5.329301932,1.367661779,5
c1ccc(cc1)c1cc(C#N)c[nH]1,4.399888,0.119887111,4
CC(C)(C)c1cc(C(F)(F)F)sc1,5.249088242,0.391740041,5
CN(C)c1ccc(c2c1ONO2)F,3.932175611,-0.018116027,3
c12c(c(c(c(c1F)c1c(c(c3c(c1F)Oc1c(O3)cc3c(c1)CCC3)F)F)F)F)Oc1c(O2)cc2c(c1)CCC2,4.319629314,0.630997687,4
COC1=CCC=C(c2ccccc2)O1,4.010922332,0.248734994,4
CN(C)c1cccc2c1[nH]sn2OCCOCCOC,3.770931369,1.621453545,3
c1ccc(cc1)c1cccc2c1[nH]sn2O,3.90997082,3.847244253,3
C=Cc1c(ccs1)C(Br)(Br)Br,4.691250818,2.971259672,4
C1C(=COC=C1C#N)C#N,5.44208231,1.07924058,5
CN(C)c1c(ccs1)Cl,3.725513417,1.159827158,3
C1=C(N(=O)=O)OC=C(O)O1,4.586969675,2.067293712,4
C1C[C@H]([C@H](SC1)C)C(=O)O,4.745850694,-0.272226735,4
COC1=CS/C(=C/2\SC=C(F)S2)/S1,3.322075851,1.08890873,3
Nc1c(O)c(=O)cco1,5.655867754,1.820403803,5
C=CC1=COC=C(C(Cl)(Cl)Cl)O1,4.348165624,2.707388094,4
CCC1=C(OCCOC)S[C](C2=[S]C=CS2)S1,3.183636746,0.617972003,3
C/C(=N/c1ccc(c2c1[nH]s[nH]2)OCCOCCOC)/O,2.858158372,2.089063631,2
Cn1ccc(=c2cc(n(C)cc2O)OCCOC)cc1,1.729508963,-0.047695541,1
Cn1ccc(=c2ccn(cc2C(Br)(Br)Br)CC(=O)O)cc1,2.299096637,3.501836906,2
CCc1c(F)nccn1,5.814161303,0.867190508,5
COCCON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,4.439680943,2.682161002,4
CNC1=CCC=C(F)O1,3.8291883,-0.851964854,3
c1cc(ccn1)c1cc(nc(c1)C#N)C,5.819580747,1.387575102,5
C(=O)(O)c1cc2c(cc1)[nH]nn2,5.624799427,1.048761726,5
CCC1=CSC(=CC1)C(=O)O,4.403495528,0.835953104,4
CNc1c[nH]cc1N(=O)=O,3.904685386,1.455616694,3
C(=C)(/C=C/OC)C,4.03168276,0.061479565,4
CC(C)(C)c1ccc(c2c1ONO2)Cl,4.540394476,1.188449232,4
C/C(=N/c1cc2c(cc1OC)ONO2)/O,3.914451642,0.174219079,3
CCN1[N]N=C(C=O)[N]1,8.027879311,2.721920536,8
CN(C)c1cc(cs1)C(F)(F)F,3.80308784,0.085445186,3
CCn1ccc(=c2ccn(cc2)COC)cc1,1.977934067,-0.559835772,1
c1cc(ccn1)c1ccnc(c1c1ccccc1)c1ccccc1,6.160751844,2.330496717,6
c1c(c(cc2c1[nH]s[nH]2)N(=O)=O)Cl,3.668257607,2.98976549,3
C(N)(c1ccccc1)c1ccccc1,4.752609185,-0.3963479,4
CCc1cn(C)ccc1=c1ccn(cc1)CC#N,1.971229419,-0.130887882,1
Cc1c/c(=c/2\ccn(C)c(c2)C(Cl)(Cl)Cl)/ccn1C,2.134024723,3.47507054,2
CC1=CN(C)C=C[C@H]1[C@H]1C=CN(C)C=C1C(=O)O,2.012861263,0.375470635,2
C1[C@H](C[C@H](SC1)C(=O)O)C,4.883717834,1.081786977,4
C=Cc1ccc(CC)c2c1ONO2,4.382460856,0.466473057,4
Cn1c2cccc(c2[nH]s1)C(F)(F)F,3.43490439,0.398848172,3
c1c(csc1C(Cl)(Cl)Cl)C(F)(F)F,5.711009869,2.827980359,5
c1ccc(cc1)c1cc(cs1)N,3.760811311,0.448820975,3
CO[C@H]1CCC[C@H](C1)C(Cl)(Cl)Cl,5.602672741,2.421320288,5
c1(c2c(ccc1)cccc2)Nc1ccccc1,3.715027034,0.388493767,3
c1ccc(cc1)C1=COC=C[C@H]1N,4.270483543,0.135682739,4
CNC1=CS/C(=C\2/SC=CS2)/S1,3.021602504,0.608863463,3
c1cc2c(cc1C(F)(F)F)ON(N(=O)=O)O2,4.675170986,3.318737186,4
CCc1cnc(cn1)C(=O)O,5.688125474,1.402075265,5
COc1cc(cs1)c1ccccc1,4.108640409,0.206456175,4
C1CS[C@@](CS1)(C(=O)O)N,5.188770694,0.136136616,5
CN(C)C1=C(CC=CO1)N,3.011500539,-0.736099416,3
CNc1cnc(cn1)OCCOCCOC,4.003861223,0.480162834,4
c1cnc(c(C#N)n1)C(=O)O,6.280134338,1.909544714,6
COCCOc1cncc(N)n1,4.436606332,0.35657403,4
CC(C)(C)c1cc(c(cc1OC)OC)C(C)(C)C,3.98184335,-0.830699144,3
C=Cc1c(ccs1)N(=O)=O,5.027078567,2.140599113,5
C/C(=N/c1ccc(C#N)c2c1ONO2)/O,4.631410133,0.99063673,4
O[C@]1(CO[C@H]1C=O)C#N,7.434913974,2.499176573,7
c1cc(ccn1)c1c(cncc1C)CC,5.43475507,0.650753411,5
C(CO)(CO)(CO)N,4.893957742,-0.379660723,4
c1(c(c2c(cc1)nccn2)C)OC,4.584157897,1.136952371,4
CC(=O)c1cc(cc2c1ONO2)NC,3.806707944,1.042323635,3
CC[C@@H]1CN(C)[C@@H](CN1C)OC,3.891603065,-1.099324658,3
CC(=O)n1c2cccc(c3ccccc3)c2[nH]s1,3.729698512,2.477729805,3
Cc1ccc2c(c1)[nH]sn2OC,3.858239206,1.80153823,3
C/C(=N/c1cc(c2c(c1)ONO2)C(=O)O)/O,4.261505896,0.989668769,4
CN1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,4.450479354,2.7854655,4
C=CC1=CSC=C(C1)N(=O)=O,4.492080645,1.953489099,4
C=Cc1cc(cc2c1ONO2)/N=C(/C)\O,4.087278406,0.528953044,4
C=Cc1c(ccc2c1[nH]s[nH]2)OCCOCCOC,3.341512254,0.41151931,3
Cc1conc(O)c1=O,7.100161534,2.620685177,7
CCC1=C(N(=O)=O)OC=CC1,4.892720712,1.91544234,4
C1[C@H]([C@H](CSC1)CC)C,4.583155117,-0.803938533,4
c1cc(N)sc1Cl,3.740073306,1.198094533,3
CNc1cscc1C(=O)O,3.907719126,0.707848418,3
C1[C@H](C[C@H](SC1)N)N,4.434912755,-0.757620284,4
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)C)N,4.498049321,2.006134051,4
c1cc(c2c(c1Cl)ONO2)N,4.273536239,1.16218992,4
CCc1cc(C(=O)O)sc1,5.196048746,0.960604696,5
