smiles,IE
c12c3c(cc4c(c3)C=C[CH][CH]4)ccc1cc1c(c2)ccc2c1cccc2,0.113685432
C(#CCl)Cl,5.975877934
N#[B],6.87171163
O(Cl)Cl,6.763221176
C(CC)CC,6.395063975
Cc1ccccc1,5.169521162
c12c3c(ccc1cccc2)cccc3,4.48352787
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,8.818576364
C=C,6.126330857
Cc1c2c3c4c(CC2)c(C)ccc4CCc3cc1,4.227224817
[Mg](Cl)Cl,6.427795688
Cc1cc2c(cc1)cccc2,4.466649814
N(Cl)(Cl)Cl,5.873891387
C(#CC)C,5.62436688
C(=C)(C#C)C,5.258755034
C1(C(C(=C(C(=C1F)F)F)F)(F)F)(F)F,5.92691626
S,6.000068912
C(=C(C(C(F)(F)F)(F)F)F)(C(F)(F)F)C(F)(F)F,7.785752167
C[C@H]1c2c(CC1)cccc2,4.909103217
C(=C\C)/C#C,5.088616341
C(=C\C)/C=C/C,4.327486342
Cl[C@]12[C@@]3(Cl)[C@]4(C([C@@]2([C@]2([C@]1(Cl)C([C@@]3([C@@]42Cl)Cl)(Cl)Cl)Cl)Cl)(Cl)Cl)Cl,6.866535492
C(=C)c1cc2c(cc1)cccc2,4.42851218
CC1(C)C=CCC=C1,4.897056923
C(C(C)(C)C)C(C)C,5.838426154
C1(=C2CC2)CC1,4.927609734
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.677010924
C(C)C,7.028463697
C[C@@H]1CCC(=CC1)C,4.716200422
C(C/C=C/C)/C=C/C,4.868716109
C(#Cc1ccccc1)c1ccccc1,4.513849937
C(CCC)CC=C,5.458378554
C12=CC=CC1=CC=C2,3.783014549
CC1=CC=CCC1,4.070660164
c12c(cccc2)CC=CC1,4.831208155
CC1=C(C)CCCC1,4.392718067
S1[N]S[N]S[N][S]=N1,3.809438773
C1(=C)CC1,5.47753588
C(=C)=C,5.581072194
Cc1cc(C)cc(c1)C,4.886021643
C(=C)(C)c1ccc(cc1)C,4.511287754
CC1(C)[C@H]2[C@@H]1CCC2,4.604506429
[C@]123[C@@H]4[C@@H]1[C@H]3CCC[C@H]24,0.770989237
c12c3c(ccc1CCCC2)cccc3,4.331835328
CC1(C)c2c(CC1)cccc2,4.912747276
C1(=C)CCCCC1,5.113123594
C(=C)(C=C)C=C,4.72242489
C(=C\C)/C=C,4.629385498
c12c(C=CC1)cccc2,4.49473886
C(#CCCCC)c1ccccc1,4.80544252
C(C)c1cc2c(cc1)cccc2,4.464153659
c12c3c(Cc1cccc2)cccc3,4.493945036
Cc1c(C)cc(c(c1)C)C,4.576142945
[C@@H]1([C@H](C1)c1ccccc1)c1ccccc1,4.291892222
C(C)(C)(C)c1ccccc1,5.154613441
Cc1c(C)c(C)ccc1C,4.682886393
C(=C\c1ccc(cc1)/C=C/c1c(C)cccc1)/c1c(C)cccc1,3.822370278
C1CCCC=CCC1,4.973110158
Cc1c(C)c(C)c(c(c1C)C)C,4.392699711
C[C@H]1C[C@@H](C)CCC1,5.963275482
CC1=CCCCC1,4.716143493
C(=C\C=C\c1ccccc1)/c1ccccc1,3.912209984
C(=C(C)C)c1ccccc1,4.36913509
C(C=C)c1c(cccc1)c1ccccc1,4.779342256
C(C)(C)(C)c1ccc(cc1)C#C,4.914245927
C(C=C(C)C)c1ccccc1,4.706373572
C(=C(C)C)C(=C)C,4.304193144
C[C@@H]1[C@H]2[C@@H]1CCC2,4.898717146
C(=Cc1ccccc1)(c1ccccc1)c1ccccc1,4.152223266
c12c3C=Cc1cccc2ccc3,4.506603374
C(CCCc1ccccc1)c1ccccc1,5.132246334
C(=C(C#N)C#N)(C#N)C#N,7.461819894
c12c(cc3c(c1)CCCC3)CCCC2,4.513307457
C[C@@H]1C(=C(C(=C1C)C)C)C,3.681561285
Cc1c2c(ccc1)cccc2,4.445392346
C1=CC=CC=CC=C1,4.090307153
c12c(cc3c(c1)cccc3)cccc2,3.989124428
C(C/C=C/C)CCC,5.049286814
C(=C)(C=C)C,4.798607499
C(/C=C/C)c1ccccc1,4.862446853
C(=C)C=C,4.969383581
[C@@H]12[C@@H](C1)CCC2,4.856565279
C(=C(F)F)(F)F,5.88292844
C(=C)(C)c1ccccc1,4.686193819
[C@@H]12[C@H]3[C@@H]1c1c([C@@H]2c2c3cccc2)cccc1,4.020136118
CC1CCCC1,6.182232723
