smiles,IE
C=C[C@@H]1CS[C@H](C)CS1,4.909681455
Cn1ccc(=c2ccn(cc2)CN(=O)=O)c(c1)N(=O)=O,2.747752468
C#Cc1cc(cc2c1ONO2)OC,4.227154802
C1[C@@H](C(=N)O)SC[C@@H](N(=O)=O)S1,5.485758118
C[C@@H]1C=CSC=C1N,3.372468063
C1C(CCSC1)F,4.777004175
CON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,4.487572761
C1CC1[C@@]12C[C@H]3C[C@@H]1N23,6.04572991
CNc1ccc2c(c1)[nH]s[nH]2,3.162071961
CCC1=CSC=C(CC)S1,3.778735429
C#Cc1c[nH]cc1c1ccccc1,4.291906709
CC(C)(C)CN1C=C[C]([C]2C=CN(C)C=C2)C(=C1)O,1.852178542
c1c(c2c(cc1)nccn2)OC,4.593180253
CNC1=C(C(=O)N)OC=CO1,3.682856976
COCCOCCOc1c(C#N)nccn1,5.455056493
COCCOCCOCCOc1cc(Cl)sc1,4.361542336
Cc1cn(C)cc(c1=c1ccn(C)cc1)/N=C(/C)\O,1.677851016
C(=O)(CCC=C)N1[C@@H](OC)CCC1,5.196459921
O=c1c2c(c3c(c(=O)o1)cccc3)cccc2,5.329301932
COCCOc1ccc(C#N)c2c1ONO2,4.765365335
COc1c2CCCCc2c(C#N)c(c1O)O,4.583817774
C1[C@H](C[C@H](SC1)C#C)C#C,4.967920536
c1(P(OCC)OCC)ccccc1,4.384687632
c1ccc(cc1)c1cccc2c1n(C#N)s[nH]2,4.100565118
c1ccc(cc1)c1cc(N)sc1,3.697692912
[Si]1([Si](CSCCCSC1)(C)C)(C)C,4.303641981
CN(C)[C]1CC=CS[C]1N(=O)=O,4.042032087
C#C[C@@H]1CCC[C@@H]1F,6.089202564
C1C(CCSC1)CC,4.653605175
c1ccc2c(c1)n(C(Cl)(Cl)Cl)sn2O,4.331951259
c1c(cc2c(c1C(=O)O)ONO2)C(=O)O,4.85213563
COCCOCCOc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.526909499
COc1cc(cs1)C(=O)O,4.513810271
CN1C[C@H](N(C)C[C@H]1N(=O)=O)N(=O)=O,5.189876211
C/N=c/1\cc[nH]cc1F,5.392414826
c1cc(ccn1)c1ccnc(c1N(C)C)C,4.03110024
C#Cc1cc(C#N)c2c(c1)ONO2,4.796498383
COCCOCCOc1cc(cc2c1[nH]s[nH]2)C(Br)(Br)Br,3.261519376
CC(C)(C)c1cc(c(cc1OC)OCOCCOC)C(C)(C)C,3.963805291
Cn1ccc(=c2c(cn(C)cc2Cl)c2ccccc2)cc1,2.085519762
CNc1ccc(n1C)OC,2.787642566
CN(C)C1=COC=C[C@H]1C(=O)O,3.655046967
C/C(=N\Cn1ccc(=c2ccn(C)cc2)c(c1)N)/O,1.807595482
CCc1cccc2c1n(F)s[nH]2,4.63348028
c12c3c4c(ccc3ccc1c(ccc2cc4)C(C)C)C(C)C,3.868588046
Cc1ccc(NC)s1,3.345774338
Cn1cc/c(=c\2/ccn(C)c(c2)OCCOCCOCCOC)/c(c1)c1ccccc1,1.834377614
[C@@H]1(CC[C@H](SC1)N(=O)=O)N(=O)=O,5.533601992
c1(N2[Si]N(C=C2)c2c(cccc2C)C)c(cccc1C)C,3.811230003
C1[C@H]([C@H](CSC1)C)NC(=O)C,4.833540774
C1=C[C@@H](C(=C1)N(=O)=O)C(Cl)(Cl)Cl,5.677864164
O=C1N(C(=O)N=N1)c1ccccc1,5.585542516
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1OC)OC,4.692096464
C[C@@H]1C=CSC(=C1)C(Cl)(Cl)Cl,4.454377803
c1c2c3c4c5c1c(=O)n(c(=O)c5cc1c4c4c5c3c(cc3c5c(cc4c([n]1)c1ccccc1)c(=O)n(c3=O)C)[n]c2c1ccccc1)C,4.796551674
Cc1cc[nH]c1N(C)C,2.828250824
C1CC[C@@](SC1)(C)N(=O)=O,4.835647768
C=Cc1c[nH]cc1C=C,4.144378777
C=Cc1c(cc[nH]1)C(Cl)(Cl)Cl,4.360629813
C/C(=N\Cn1ccc(=c2ccn(C)cc2)c(C#N)c1)/O,2.248592997
CC(=O)c1cncc(/N=C(/C)\O)n1,5.413496732
COc1c(ccc2c1ONO2)Cl,4.530434859
c1(c([nH]nc1C)C)N(=O)=O,5.773841768
Cc1cc(c2c(c1)ONO2)/N=C(/C)\O,4.231318231
CC(=O)c1ccc2c(c1)n(NC)s[nH]2,3.59651983
c1cc2c(cc1F)ON(C(Cl)(Cl)Cl)O2,4.776309825
CCC1(CCCC1)C#N,6.660058326
CC(=O)c1cc(=c2ccn(C)cc2)ccn1C,2.137406472
C=CC1=CCC=C(N(C)C)S1,3.503681419
