solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,pre_feat_solv_1,pre_feat_solv_2,pre_feat_solv_3,pre_feat_solv_4,pre_feat_solv_5,pre_feat_solv_6,pre_feat_solv_7,pre_feat_solv_8,pre_feat_solv_9,pre_feat_solv_10,solv_ratio_1,solv_ratio_2,solv_ratio_3,num_heavy_atoms_solv_1,num_heavy_atoms_solv_2,num_heavy_atoms_solv_3,mw_solv_1,mw_solv_2,mw_solv_3,pre_feat_salt_1,pre_feat_salt_2,pre_feat_salt_3,pre_feat_salt_4,pre_feat_salt_5,pre_feat_salt_6,pre_feat_salt_7,pre_feat_salt_8,pre_feat_salt_9,pre_feat_salt_10,salt_1_conc,salt_2_conc,num_heavy_atoms_salt_1,num_heavy_atoms_salt_2,mw_salt_1,mw_salt_2,pre_feat_add_1,pre_feat_add_2,pre_feat_add_3,pre_feat_add_4,pre_feat_add_5,pre_feat_add_6,pre_feat_add_7,pre_feat_add_8,pre_feat_add_9,pre_feat_add_10,num_heavy_atoms_add,mw_add,protocol,current_density,coulombic_efficiency,log(1-CE)
O=C1OCC(F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,725.1771,6.303111,-5.273685,5.303995,-4.99546,9.703532,-3.670454,-4.4642825,-5.8825216,-16.04398,1,0,0,7,0,0,106.0066222,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185643,0.22893459,-0.13058461,0.112261094,0.04115681,7,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.25,0.996,-5.521460918
C1CCOC1,CF,O=C=O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,-166.3335,-55.857277,-10.862164,4.5358987,7.46009,-14.590832,2.8087475,-14.49001,-1.9392511,13.393096,0.024390244,0.926829268,0.048780488,5,2,3,72.05751488,34.02187832,43.98982924,577.04285,37.36993,-40.724567,32.637367,20.762426,-5.7456594,2.9056952,-5.75283,-0.8732463,1.1802902,0.3,0,16,0,286.9332984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.999,-6.907755279
O=C1OCCO1,COC(=O)OC,CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],,Cl[Al](Cl)Cl,-171.27257,-65.47478,-27.96839,-3.2576053,-22.514769,-8.945149,0.8565118,-3.2895947,11.007947,2.072473,0.243902439,0.317073171,0.43902439,6,6,8,88.01604399,90.03169405,118.0629942,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681572,1.7162256,-0.046534847,1,0,8,0,151.9801855,0,-231.487,223.0996,73.33155,16.195442,-18.349648,5.675779,-28.856236,40.022373,1.2124975,0.002880919,4,131.8880967,3,0.5,0.99,-4.605170186
O=C1OCC(F)O1,FC(F)(F)COC1OCO1,FC(F)C(F)(F)OCC(F)(F)F,F[P-](F)(F)(F)(F)F.[Li+],,,256.88116,-21.178617,54.167862,-15.252745,-11.276563,-19.246376,-34.239384,-7.4724274,11.514045,18.614899,0.2,0.6,0.2,7,10,12,106.0066222,158.0190787,200.0072123,-271.49637,29.128769,-4.6876454,2.8940535,-5.0519276,-6.773956,-1.2934432,0.9681572,1.7162259,-0.04653481,1,0,8,0,151.9801855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.992,-4.828313737
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-529.23944,99.002686,10.163011,36.577763,-28.83884,5.2425604,-9.3845825,13.633232,-4.3314834,1.1740683,1,0,0,6,0,0,90.06807956,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.22893032,-0.13060112,0.11225054,0.041150816,12,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.992,-4.828313737
O=C1OCCO1,COC(=O)OC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,5.0230193,-14.752433,-41.280296,-18.33751,-6.635223,-9.77851,5.0461082,12.535081,10.950473,-0.29916665,0.5,0.5,0,6,6,0,88.01604399,90.03169405,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.22893032,-0.13060111,0.11225055,0.041150827,10,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.993,-4.96184513
COC(=O)OC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-536.3401,-117.65732,31.820875,-10.327144,2.8750632,2.5950103,2.365262,-8.02437,2.0002565,-0.6866568,0.25,0.75,0,6,11,0,90.03169405,182.0166341,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.2289303,-0.13060114,0.11225057,0.041150816,2.5,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.995,-5.298317367
COCCOC,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-176.5809,-27.320333,50.991154,-25.735516,-0.97882587,-8.755724,-1.781069,0.039571162,-0.49740002,-1.3608245,0.166666667,0.833333333,0,6,19,0,90.06807956,310.0251481,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.2289303,-0.13060114,0.11225057,0.041150816,1,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.995,-5.298317367
C1COCO1,COCCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],O=[N+]([O-])[O-].[Li+],369.46603,-8.323037,-10.1422615,20.021454,26.374693,-29.214964,-10.730746,-0.41658464,-14.1218605,6.5347185,0.5,0.5,0,5,6,0,74.03677943,90.06807956,0,459.2217,47.38395,62.609238,-11.724538,-10.754508,-3.0011094,-5.096339,-9.243805,0.5017421,-0.72151434,2,1,10,16,186.9396855,286.9332984,649.99274,-44.898075,36.85108,15.282627,-10.243922,3.2195272,2.4579754,-4.113442,-0.5970532,0.002880913,5,69.00382241,2,0.5,0.996,-5.521460918
CN(C)S(=O)(=O)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,567.12494,43.042286,8.275193,-13.56106,-0.81457984,51.703777,15.795883,4.122063,-6.475287,16.394163,1,0,0,7,0,0,127.0103277,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185625,0.2289303,-0.13060114,0.11225057,0.041150816,2.5,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.99,-4.605170186
