smiles,fr_func_grp_1_solv,fr_func_grp_2_solv,fr_func_grp_3_solv,fr_func_grp_4_solv,fr_func_grp_5_solv,fr_func_grp_6_solv,fr_func_grp_7_solv,fr_func_grp_8_solv,fr_func_grp_9_solv,fr_func_grp_10_solv,fr_func_grp_11_solv,fr_func_grp_12_solv,fr_func_grp_13_solv,fr_func_grp_14_solv,fr_func_grp_15_solv,fr_func_grp_16_solv,fr_func_grp_17_solv,fr_func_grp_18_solv,fr_func_grp_19_solv,fr_func_grp_20_solv,fr_func_grp_21_solv,fr_func_grp_22_solv,fr_func_grp_23_solv,fr_func_grp_24_solv,fr_func_grp_25_solv,fr_func_grp_26_solv,fr_func_grp_27_solv,fr_func_grp_28_solv,fr_func_grp_29_solv,fr_func_grp_30_solv,fr_func_grp_31_solv,fr_func_grp_32_solv,fr_func_grp_33_solv,fr_func_grp_34_solv,fr_func_grp_35_solv,fr_func_grp_36_solv,fr_func_grp_37_solv,fr_func_grp_38_solv,fr_func_grp_39_solv,fr_func_grp_40_solv,fr_func_grp_41_solv,fr_func_grp_42_solv,mol_wt,num_heavy_atom,num_HBA,num_rings,mol_sssr,clogp,molar_refractivity,tpsa,frac_sp3,hall_kier_alpha,labute_ASA,num_valence_electron,max_partial_charge,min_partial_charge,IE
CCC1=COC(=CO1)C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.042258736,11,3,1,1,1.2106000000000001,36.2628,55.760000000000005,0.2857142857142857,-1.4500000000000002,63.72671280756499,60,0.37460002226253886,-0.4752853391019759,4.459377014
COCCOCCOc1c(ccc2c1ONO2)N,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.10592161200003,18,7,2,2,0.5014000000000001,63.43610000000003,84.2,0.45454545454545453,-1.7,104.61583856506189,100,0.23929199761337014,-0.4850100320598125,3.668758316
CNc1c(ccs1)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,131.020498412,8,2,1,1,1.9288999999999998,33.8237,12.03,0.2,-0.5700000000000001,51.15210609083935,44,0.15693216194592938,-0.3776008419792336,3.623242626
c1c(cc(c2c1[nH]s[nH]2)N(=O)=O)N(=O)=O,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.995325608,15,7,2,2,1.9036000000000004,54.58719999999998,110.34,0.0,-2.03,87.22511282480565,78,0.3017716779052678,-0.3096911344039959,3.898581397
C#Cc1ccsc1N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.01427016,8,2,1,1,1.3115999999999999,36.6664,26.02,0.0,-0.9400000000000002,52.140766707573654,40,0.10153238007236474,-0.38955948998221884,3.828430776
COCCOCCOc1c2CCCCc2c(c(c1O)O)C(=O)O,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,326.1365530439999,23,6,2,2,1.7166,81.56290000000004,105.45,0.5625,-1.9899999999999998,133.95985215508625,128,0.33942091344223796,-0.5035588356445249,4.469645172
CN(C)c1c(ccc2c1ONO2)N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.085126592,13,5,2,2,0.5255999999999998,49.57310000000002,59.75,0.25,-1.62,75.9402102035548,70,0.2207391208390699,-0.39693083149553515,3.710549494
CN(C)C1=CSC=C(O)S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.012555908,10,4,1,1,2.1837999999999997,47.663800000000016,23.47,0.3333333333333333,-0.22000000000000008,68.97921185504471,56,0.16246871413643374,-0.5014584045665934,3.480669648
c1c(c2c(cc1)nccn2)O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,146.048012812,11,3,2,2,1.3353999999999995,41.20280000000002,46.010000000000005,0.0,-1.6399999999999997,63.34659736532121,54,0.14291342370343324,-0.5056042287048762,4.787409196
C1[C@@H](N)SC[C@@H](N)S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.02854032,8,4,1,1,0.03600000000000014,40.8668,52.04,1.0,0.62,57.75424766224606,48,0.05998867552558564,-0.31867333785577096,4.783744463
C1CO[C@H](CO1)C(=N)O,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.058243148,9,3,1,1,-0.06292999999999993,30.914499999999993,62.540000000000006,0.8,-0.6100000000000001,52.89986354236131,52,0.20995021122344382,-0.49481698159644694,5.707441481
c1c(c2c(cc1)ncc(n2)C)C=C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,170.08439832,13,2,2,2,2.58122,54.36600000000002,25.78,0.09090909090909091,-1.6999999999999997,76.95758692413077,64,0.09614909409752988,-0.2527039789002735,4.684877194
C=CC1=CCC=C(NC)O1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.084063972,10,2,1,1,1.5373999999999999,41.12470000000001,21.259999999999998,0.25,-1.18,60.88261299163872,54,0.1889162189666138,-0.442125752686522,3.50769565
